,time,open,high,low,close,volume,symbol
971,2022-11-02 12:45:00,89.075,89.41,89.075,89.39,1025269,GOOGL
972,2022-11-02 12:30:00,89.17,89.335,89.06,89.075,955156,GOOGL
973,2022-11-02 12:15:00,89.28,89.33,89.065,89.17,1029895,GOOGL
974,2022-11-02 12:00:00,89.23,89.29,89.1,89.2824,1048116,GOOGL
975,2022-11-02 11:45:00,89.17,89.365,89.08,89.233,1253888,GOOGL
976,2022-11-02 11:30:00,89.26,89.28,89.04,89.18,1395854,GOOGL
977,2022-11-02 11:15:00,89.705,89.75,89.21,89.2668,1319833,GOOGL
978,2022-11-02 11:00:00,89.77,89.965,89.66,89.705,1068839,GOOGL
979,2022-11-02 10:45:00,89.855,90.01,89.725,89.77,1275346,GOOGL
980,2022-11-02 10:30:00,89.7,90.1,89.68,89.8519,1599822,GOOGL
981,2022-11-02 10:15:00,90.02,90.31,89.7,89.7,2892091,GOOGL
982,2022-11-02 10:00:00,90.475,90.99,90.02,90.02,1823917,GOOGL
983,2022-11-02 09:45:00,90.94,91.06,90.205,90.49,3073288,GOOGL
984,2022-11-02 09:30:00,90.8,91.03,90.7,90.99,83926,GOOGL
985,2022-11-02 09:15:00,90.81,90.9,90.71,90.8,21844,GOOGL
986,2022-11-02 09:00:00,90.66,90.89,90.66,90.83,24151,GOOGL
987,2022-11-02 08:45:00,90.72,90.94,90.56,90.71,42256,GOOGL
988,2022-11-02 08:30:00,90.7,90.75,90.42,90.7138,45998,GOOGL
989,2022-11-02 08:15:00,90.72,90.96,90.6318,90.7,36734,GOOGL
990,2022-11-02 08:00:00,90.8,90.88,90.79,90.79,3525,GOOGL
991,2022-11-02 07:45:00,90.84,90.88,90.78,90.78,12808,GOOGL
992,2022-11-02 07:30:00,90.82,90.85,90.78,90.85,3940,GOOGL
993,2022-11-02 07:15:00,90.79,90.84,90.64,90.73,17768,GOOGL
994,2022-11-02 07:00:00,90.61,90.77,90.6,90.72,16673,GOOGL
995,2022-11-02 06:45:00,90.64,90.64,90.58,90.6,2357,GOOGL
996,2022-11-02 06:30:00,90.66,90.67,90.6,90.67,1130,GOOGL
997,2022-11-02 06:15:00,90.7,90.7,90.6,90.66,3945,GOOGL
998,2022-11-02 06:00:00,90.56,90.67,90.2,90.67,10353,GOOGL
999,2022-11-02 05:45:00,90.74,90.86,90.5,90.52,7487,GOOGL
1000,2022-11-02 05:30:00,90.9,90.9,90.75,90.75,1726,GOOGL
1001,2022-11-02 05:15:00,91.05,91.08,90.89,90.89,3549,GOOGL
1002,2022-11-02 05:00:00,91.0,91.0,90.92,90.97,1464,GOOGL
1003,2022-11-02 04:45:00,91.09,91.09,91.0,91.01,2764,GOOGL
1004,2022-11-02 04:30:00,90.93,91.11,90.88,91.11,4169,GOOGL
1005,2022-11-02 04:15:00,91.35,91.35,90.75,90.92,4021,GOOGL
1006,2022-11-01 20:00:00,90.67,90.7,90.57,90.58,10778,GOOGL
1007,2022-11-01 19:45:00,90.7,90.7,90.65,90.66,13266,GOOGL
1008,2022-11-01 19:30:00,90.69,90.72,90.65,90.72,4272,GOOGL
1009,2022-11-01 19:15:00,90.62,90.73,90.62,90.69,8329,GOOGL
1010,2022-11-01 19:00:00,90.67,90.68,90.64,90.68,2400,GOOGL
1011,2022-11-01 18:45:00,90.67,90.6799,90.61,90.63,7030,GOOGL
1012,2022-11-01 18:30:00,90.64,90.65,90.62,90.62,4670,GOOGL
1013,2022-11-01 18:15:00,90.55,90.67,90.47,90.56,106606,GOOGL
1014,2022-11-01 18:00:00,90.5,90.58,90.47,90.55,10083,GOOGL
1015,2022-11-01 17:45:00,90.57,90.59,90.48,90.48,12886,GOOGL
1016,2022-11-01 17:30:00,90.52,90.59,90.4999,90.56,15847,GOOGL
1017,2022-11-01 17:15:00,90.51,90.53,90.5,90.5,12538,GOOGL
1018,2022-11-01 17:00:00,90.43,90.51,90.29,90.5,23542,GOOGL
1019,2022-11-01 16:45:00,90.4,90.47,90.38,90.47,26270,GOOGL
1020,2022-11-01 16:30:00,90.35,90.47,90.26,90.4,68428,GOOGL
1021,2022-11-01 16:15:00,90.47,90.59,90.31,90.35,1066221,GOOGL
1022,2022-11-01 16:00:00,90.67,90.7,90.37,90.47,6069688,GOOGL
1023,2022-11-01 15:45:00,90.7,90.77,90.56,90.665,2685363,GOOGL
1024,2022-11-01 15:30:00,90.92,91.01,90.67,90.7,2108496,GOOGL
1025,2022-11-01 15:15:00,91.33,91.37,90.9,90.93,1586971,GOOGL
1026,2022-11-01 15:00:00,91.185,91.465,91.005,91.335,1778299,GOOGL
1027,2022-11-01 14:45:00,91.42,91.5,91.14,91.1875,1151633,GOOGL
1028,2022-11-01 14:30:00,91.615,91.6291,91.3401,91.425,1174738,GOOGL
1029,2022-11-01 14:15:00,91.9076,91.96,91.6,91.61,872259,GOOGL
1030,2022-11-01 14:00:00,91.82,91.94,91.73,91.91,750535,GOOGL
1031,2022-11-01 13:45:00,91.7362,91.85,91.65,91.82,647046,GOOGL
1032,2022-11-01 13:30:00,91.94,91.98,91.7213,91.735,745032,GOOGL
1033,2022-11-01 13:15:00,91.805,92.03,91.63,91.95,1332558,GOOGL
1034,2022-11-01 13:00:00,91.8,91.85,91.6,91.8006,1577166,GOOGL
1035,2022-11-01 12:45:00,91.89,91.93,91.57,91.8,1411263,GOOGL
1036,2022-11-01 12:30:00,92.09,92.17,91.88,91.89,1233833,GOOGL
1037,2022-11-01 12:15:00,92.13,92.59,92.07,92.09,1224405,GOOGL
1038,2022-11-01 12:00:00,91.97,92.2599,91.915,92.13,1145481,GOOGL
1039,2022-11-01 11:45:00,92.46,92.54,91.94,91.975,1755442,GOOGL
1040,2022-11-01 11:30:00,92.5999,92.5999,92.32,92.46,1038535,GOOGL
1041,2022-11-01 11:15:00,92.395,92.61,92.23,92.585,1596092,GOOGL
1042,2022-11-01 11:00:00,92.7852,92.9081,92.3,92.4,1221712,GOOGL
1043,2022-11-01 10:45:00,93.49,93.49,92.6819,92.7811,925057,GOOGL
1044,2022-11-01 10:30:00,93.08,95.53,92.75,93.49,1582875,GOOGL
1045,2022-11-01 10:15:00,94.22,94.29,93.06,93.0799,1895755,GOOGL
1046,2022-11-01 10:00:00,94.69,94.7,93.935,94.21,2154612,GOOGL
1047,2022-11-01 09:45:00,95.45,96.03,94.62,94.68,2702708,GOOGL
1048,2022-11-01 09:30:00,95.8301,95.88,95.31,95.45,66983,GOOGL
1049,2022-11-01 09:15:00,95.89,95.9,95.76,95.8,36937,GOOGL
1050,2022-11-01 09:00:00,95.75,95.99,95.71,95.88,32320,GOOGL
1051,2022-11-01 08:45:00,95.73,95.95,95.71,95.79,22737,GOOGL
